requirement_id,decision_ids,business_rule_ids,scenario_ids,screen_ids,operation_ids,entities,acceptance_ids,task_ids,test_ids,status
FR-17,DN-C1-001,BR-C1-010|BR-C1-011|BR-C1-012|BR-C1-020|BR-C1-021|BR-C1-022|BR-C1-023|BR-C1-027|BR-C1-028|BR-C1-029|BR-C1-050|BR-C1-053,SCN-C1-001,SCR-C1-001,createWatchIntent,WATCH_INTENT|USER_BEHAVIOR_EVENT|IDEMPOTENCY_RECORD|DOMAIN_OUTBOX,AC-C1-001|AC-C1-002|AC-C1-003|AC-C1-004|AC-C1-005|AC-C1-006|AC-C1-056|AC-C1-057,TASK-C1-004|TASK-C1-007|TASK-C1-008,TEST-BE-C1-VIEWING|TEST-FE-C1-CONFIRM|TEST-E2E-C1-CORE,APPROVED
FR-18,DN-C1-001|DN-C1-005,BR-C1-022|BR-C1-023|BR-C1-024|BR-C1-025|BR-C1-026|BR-C1-027|BR-C1-028|BR-C1-029,SCN-C1-002,SCR-C1-001|SCR-C1-002|SCR-C1-007,listPendingWatchConfirmations|confirmWatchIntent|listUnratedViewingRecords,WATCH_INTENT|VIEWING_RECORD|USER_BEHAVIOR_EVENT,AC-C1-007|AC-C1-008|AC-C1-009|AC-C1-010|AC-C1-011|AC-C1-012|AC-C1-013|AC-C1-014|AC-C1-015|AC-C1-016|AC-C1-017|AC-C1-018|AC-C1-051|AC-C1-056|AC-C1-057,TASK-C1-004|TASK-C1-008,TEST-BE-C1-VIEWING|TEST-FE-C1-CONFIRM|TEST-E2E-C1-CORE,APPROVED_SCOPE_P1_DRAFT
FR-19,DN-C1-002|DN-C1-004,BR-C1-030|BR-C1-031|BR-C1-032|BR-C1-033|BR-C1-034|BR-C1-035|BR-C1-036|BR-C1-037|BR-C1-038|BR-C1-039,SCN-C1-003|SCN-C1-005,SCR-C1-003|SCR-C1-004|SCR-C1-007,listMyRatings|putMyRating|deleteMyRating,RATING|VIEWING_RECORD|IDEMPOTENCY_RECORD,AC-C1-019|AC-C1-020|AC-C1-021|AC-C1-022|AC-C1-023|AC-C1-024|AC-C1-025|AC-C1-026|AC-C1-027|AC-C1-028|AC-C1-052|AC-C1-053|AC-C1-054,TASK-C1-005|TASK-C1-008,TEST-BE-C1-RATING|TEST-FE-C1-RATING|TEST-E2E-C1-CORE,APPROVED_SCOPE_P1_DRAFT
FR-07,DN-C1-002,BR-C1-035|BR-C1-038|BR-C1-040|BR-C1-041|BR-C1-047|BR-C1-048,SCN-C1-003|SCN-C1-004|SCN-C1-005,SCR-C1-004|SCR-C1-005,getMyFilm,FRAME|RATING|VIEWING_RECORD,AC-C1-019|AC-C1-025|AC-C1-032|AC-C1-033|AC-C1-036|AC-C1-041,TASK-C1-005|TASK-C1-006|TASK-C1-009,TEST-BE-C1-DERIVED|TEST-FE-C1-FILM|TEST-E2E-C1-CORE,APPROVED
FR-08,,BR-C1-003|BR-C1-040|BR-C1-041|BR-C1-047,SCN-C1-004,SCR-C1-005|SCR-C1-006,getMyFilm|getMyFrame,FRAME|RATING|VIEWING_RECORD|MOVIE_IDENTITY,AC-C1-032|AC-C1-033|AC-C1-034|AC-C1-035|AC-C1-036,TASK-C1-006|TASK-C1-009,TEST-BE-C1-READ|TEST-FE-C1-FILM,APPROVED
FR-09,DN-C1-002|DN-C1-003,BR-C1-038|BR-C1-042|BR-C1-043|BR-C1-044|BR-C1-046|BR-C1-049,SCN-C1-003|SCN-C1-004|SCN-C1-005,SCR-C1-004|SCR-C1-008,getMyPopcornBucket,POPCORN|POPCORN_FLAVOR|MOVIE_FLAVOR_ASSIGNMENT|FLAVOR_AGGREGATE,AC-C1-019|AC-C1-025|AC-C1-031|AC-C1-037|AC-C1-038|AC-C1-041|AC-C1-055|AC-C1-058|AC-C1-059,TASK-C1-003|TASK-C1-005|TASK-C1-006|TASK-C1-009,TEST-BE-C1-DERIVED|TEST-FE-C1-BUCKET,APPROVED
FR-06,DN-C1-003,BR-C1-042|BR-C1-043|BR-C1-044|BR-C1-048|BR-C1-049,SCN-C1-004,SCR-C1-008,getMyPopcornBucket,POPCORN|POPCORN_FLAVOR|FLAVOR_AGGREGATE,AC-C1-036|AC-C1-037|AC-C1-038|AC-C1-055|AC-C1-058|AC-C1-059,TASK-C1-003|TASK-C1-006|TASK-C1-009,TEST-BE-C1-READ|TEST-FE-C1-BUCKET,APPROVED
FR-04,DN-C1-007,BR-C1-045|BR-C1-046,SCN-C1-003|SCN-C1-004,SCR-C1-008,getMyTasteProfile,RATING_TASTE_CONTRIBUTION|TASTE_AGGREGATE,AC-C1-030|AC-C1-039|AC-C1-040,TASK-C1-005|TASK-C1-006,TEST-BE-C1-DERIVED,APPROVED_SCOPE_P1_DRAFT
REQ-C1-BEHAVIOR,DN-C1-006,BR-C1-050|BR-C1-051|BR-C1-052|BR-C1-053|BR-C1-054,SCN-C1-001|SCN-C1-002|SCN-C1-003,,createWatchIntent|confirmWatchIntent|putMyRating|deleteMyRating,USER_BEHAVIOR_EVENT|DOMAIN_OUTBOX,AC-C1-001|AC-C1-003|AC-C1-006|AC-C1-013|AC-C1-029|AC-C1-047|AC-C1-048|AC-C1-049|AC-C1-057,TASK-C1-007,TEST-BE-C1-EVENTS,APPROVED_SCOPE_P1_DRAFT
NFR-05,,BR-C1-004|BR-C1-014,SCN-C1-006,SCR-C1-002|SCR-C1-003|SCR-C1-005|SCR-C1-008,confirmWatchIntent|putMyRating|getMyFilm|getMyPopcornBucket,DOMAIN_OUTBOX|RATING|FRAME|POPCORN,AC-C1-027|AC-C1-045|AC-C1-049,TASK-C1-007|TASK-C1-010,TEST-BE-C1-FAILURE|TEST-E2E-C1-CORE,APPROVED
