requirement_id,decision_ids,business_rule_ids,scenario_ids,screen_ids,operation_ids,entities,acceptance_ids,task_ids,test_ids,status
REQ-C2B-LOCAL-GET,DN-C2B-002,BR-C2B-003|BR-C2B-010|BR-C2B-014|BR-C2B-072|BR-C2B-073|BR-C2B-074,SCN-C2B-001|SCN-C2B-003,SCR-C2B-001,getMyPersonalDiscoveryRecommendations,RECOMMENDATION_DELIVERY_BATCH|RECOMMENDATION_DELIVERY_ITEM|RECOMMENDATION_DELIVERY_ISSUE|RATING|VIEWING_RECORD|USER_RECOMMENDATION_ELIGIBILITY_VERSION,AC-C2B-001|AC-C2B-012|AC-C2B-014|AC-C2B-015|AC-C2B-020|AC-C2B-094|AC-C2B-095|AC-C2B-096|AC-C2B-097,TASK-C2B-002|TASK-C2B-003|TASK-C2B-004,TEST-CONTRACT-C2B|TEST-BE-C2B-DELIVERY|TEST-FE-C2B|TEST-SECURITY-C2B,AUTHORIZED_LOCAL_BASELINE
REQ-C2B-LOCAL-APPEND,DN-C2B-002,BR-C2B-067|BR-C2B-068|BR-C2B-069|BR-C2B-072|BR-C2B-073|BR-C2B-074,SCN-C2B-002|SCN-C2B-003,SCR-C2B-001,appendMyPersonalDiscoveryRecommendations,RECOMMENDATION_DELIVERY_BATCH|RECOMMENDATION_DELIVERY_APPEND|RECOMMENDATION_DELIVERY_ITEM|IDEMPOTENCY_RECORD|RATING|VIEWING_RECORD|USER_RECOMMENDATION_ELIGIBILITY_VERSION,AC-C2B-063|AC-C2B-087|AC-C2B-088|AC-C2B-089|AC-C2B-090|AC-C2B-094|AC-C2B-095|AC-C2B-096|AC-C2B-097,TASK-C2B-002|TASK-C2B-003|TASK-C2B-004,TEST-CONTRACT-C2B|TEST-BE-C2B-DELIVERY|TEST-FE-C2B|TEST-SECURITY-C2B,AUTHORIZED_LOCAL_BASELINE
REQ-C2B-LOCAL-DISMISS,DN-C2B-002,BR-C2B-071|BR-C2B-072|BR-C2B-073,SCN-C2B-003,SCR-C2B-001,dismissMyRecommendationAsNotInterested,RECOMMENDATION_ITEM_DISMISSAL|RECOMMENDATION_DELIVERY_ITEM|IDEMPOTENCY_RECORD|USER_RECOMMENDATION_ELIGIBILITY_VERSION,AC-C2B-092|AC-C2B-093,TASK-C2B-002|TASK-C2B-003|TASK-C2B-004,TEST-CONTRACT-C2B|TEST-BE-C2B-DELIVERY|TEST-FE-C2B|TEST-SECURITY-C2B,AUTHORIZED_LOCAL_BASELINE
FR-10,DN-C2B-001|DN-C2B-004|DN-C2B-006,BR-C2B-001|BR-C2B-003|BR-C2B-004|BR-C2B-010|BR-C2B-011|BR-C2B-012|BR-C2B-014|BR-C2B-017|BR-C2B-020|BR-C2B-041|BR-C2B-042|BR-C2B-043|BR-C2B-046|BR-C2B-047,SCN-C2B-001|SCN-C2B-002|SCN-C2B-006,SCR-C2B-001,getMyPersonalDiscoveryRecommendations,RECOMMENDATION_DELIVERY_BATCH|RECOMMENDATION_DELIVERY_ITEM|RECOMMENDATION_DELIVERY_ISSUE|RATING_INPUT_SNAPSHOT|MOVIE_IDENTITY|CATALOG_VERSION,AC-C2B-005|AC-C2B-006|AC-C2B-008|AC-C2B-009|AC-C2B-010|AC-C2B-011|AC-C2B-012|AC-C2B-013|AC-C2B-014|AC-C2B-017|AC-C2B-037|AC-C2B-038|AC-C2B-039|AC-C2B-046|AC-C2B-047|AC-C2B-048|AC-C2B-049|AC-C2B-050|AC-C2B-051,TASK-C2B-001|TASK-C2B-002|TASK-C2B-003|TASK-C2B-004|TASK-C2B-007|TASK-C2B-009|TASK-C2B-010,TEST-CONTRACT-C2B|TEST-BE-C2B-DELIVERY|TEST-EVIDENCE-C2B|TEST-PERF-C2B,BLOCKED
FR-12,DN-C2B-001|DN-C2B-002,BR-C2B-011|BR-C2B-012|BR-C2B-013|BR-C2B-014|BR-C2B-015|BR-C2B-016,SCN-C2B-001|SCN-C2B-005,SCR-C2B-001,getMyPersonalDiscoveryRecommendations,RECOMMENDATION_DELIVERY_BATCH|RECOMMENDATION_DELIVERY_ITEM,AC-C2B-010|AC-C2B-011|AC-C2B-012|AC-C2B-013|AC-C2B-014|AC-C2B-015|AC-C2B-016|AC-C2B-045,TASK-C2B-001|TASK-C2B-002|TASK-C2B-004|TASK-C2B-006|TASK-C2B-008|TASK-C2B-010,TEST-CONTRACT-C2B|TEST-EVIDENCE-C2B|TEST-FE-C2B,BLOCKED
FR-13,DN-C2B-003,BR-C2B-018|BR-C2B-047,SCN-C2B-001,SCR-C2B-001,getMyPersonalDiscoveryRecommendations,RECOMMENDATION_DELIVERY_ITEM,AC-C2B-018|AC-C2B-042,TASK-C2B-001|TASK-C2B-002|TASK-C2B-004|TASK-C2B-006,TEST-CONTRACT-C2B|TEST-FE-C2B,BLOCKED
REQ-C2B-EXACT-ATTRIBUTION,DN-C2B-005|DN-C2B-006,BR-C2B-020|BR-C2B-021|BR-C2B-022|BR-C2B-023|BR-C2B-024|BR-C2B-025|BR-C2B-030|BR-C2B-031|BR-C2B-032|BR-C2B-033|BR-C2B-034|BR-C2B-035|BR-C2B-036|BR-C2B-037|BR-C2B-048|BR-C2B-049|BR-C2B-050|BR-C2B-051|BR-C2B-052|BR-C2B-053|BR-C2B-054|BR-C2B-055|BR-C2B-056|BR-C2B-057|BR-C2B-058|BR-C2B-059|BR-C2B-060,SCN-C2B-002|SCN-C2B-003|SCN-C2B-004,SCR-C2B-001|SCR-C2B-002|SCR-C2B-003,commitMyRecommendationExposure|recordMyRecommendationAction,RECOMMENDATION_DELIVERY_BATCH|RECOMMENDATION_DELIVERY_ITEM|RECOMMENDATION_EXPOSURE_BATCH|RECOMMENDATION_EXPOSURE_ITEM|RECOMMENDATION_ACTION|RECOMMENDATION_ATTRIBUTION_PROJECTION|RECOMMENDATION_ATTRIBUTION_EVENT_LEDGER|IDEMPOTENCY_RECORD|USER_RECOMMENDATION_ELIGIBILITY_VERSION|USER_BEHAVIOR_EVENT|WATCH_INTENT|VIEWING_RECORD|RATING,AC-C2B-019|AC-C2B-020|AC-C2B-021|AC-C2B-022|AC-C2B-023|AC-C2B-024|AC-C2B-025|AC-C2B-026|AC-C2B-027|AC-C2B-028|AC-C2B-029|AC-C2B-030|AC-C2B-031|AC-C2B-032|AC-C2B-033|AC-C2B-034|AC-C2B-035|AC-C2B-036|AC-C2B-043|AC-C2B-044|AC-C2B-054|AC-C2B-057|AC-C2B-058|AC-C2B-059|AC-C2B-060|AC-C2B-061|AC-C2B-062|AC-C2B-063|AC-C2B-064|AC-C2B-065|AC-C2B-066|AC-C2B-067|AC-C2B-068|AC-C2B-069|AC-C2B-070|AC-C2B-071|AC-C2B-072|AC-C2B-073|AC-C2B-074|AC-C2B-075|AC-C2B-076|AC-C2B-077|AC-C2B-078|AC-C2B-079|AC-C2B-080,TASK-C2B-003|TASK-C2B-004|TASK-C2B-005|TASK-C2B-006|TASK-C2B-007|TASK-C2B-008|TASK-C2B-009|TASK-C2B-010|TASK-C2B-011,TEST-BE-C2B-EXPOSURE|TEST-BE-C2B-ATTRIBUTION|TEST-E2E-C2B,BLOCKED
NFR-01,DN-C2B-006,BR-C2B-042|BR-C2B-046,SCN-C2B-002|SCN-C2B-006,SCR-C2B-001,getMyPersonalDiscoveryRecommendations,RECOMMENDATION_DELIVERY_BATCH,AC-C2B-038|AC-C2B-039|AC-C2B-052|AC-C2B-053|AC-C2B-056,TASK-C2B-004|TASK-C2B-008|TASK-C2B-009,TEST-PERF-C2B|TEST-E2E-C2B,BLOCKED
NFR-04,DN-C2B-001|DN-C2B-006,BR-C2B-003|BR-C2B-005|BR-C2B-042|BR-C2B-047,SCN-C2B-001|SCN-C2B-006,SCR-C2B-001,getMyPersonalDiscoveryRecommendations,DOMAIN_OUTBOX|RATING_INPUT_SNAPSHOT,AC-C2B-006|AC-C2B-038|AC-C2B-040,TASK-C2B-002|TASK-C2B-004|TASK-C2B-007|TASK-C2B-009|TASK-C2B-010,TEST-BE-C2B-DELIVERY|TEST-E2E-C2B|TEST-PERF-C2B,BLOCKED
NFR-05,DN-C2B-006,BR-C2B-005|BR-C2B-040|BR-C2B-041|BR-C2B-042|BR-C2B-043,SCN-C2B-002|SCN-C2B-006,SCR-C2B-001|SCR-C2B-002|SCR-C2B-003,getMyPersonalDiscoveryRecommendations|commitMyRecommendationExposure|recordMyRecommendationAction,DOMAIN_OUTBOX|RECOMMENDATION_DELIVERY_BATCH|RECOMMENDATION_ACTION,AC-C2B-037|AC-C2B-038|AC-C2B-039|AC-C2B-040|AC-C2B-044,TASK-C2B-004|TASK-C2B-005|TASK-C2B-006|TASK-C2B-007|TASK-C2B-008|TASK-C2B-009,TEST-BE-C2B-DELIVERY|TEST-BE-C2B-ATTRIBUTION|TEST-E2E-C2B,BLOCKED
NFR-07,DN-C2B-005|DN-C2B-006,BR-C2B-001|BR-C2B-002|BR-C2B-003|BR-C2B-004|BR-C2B-030|BR-C2B-032|BR-C2B-034|BR-C2B-036|BR-C2B-040|BR-C2B-044|BR-C2B-045,SCN-C2B-004|SCN-C2B-006,SCR-C2B-001|SCR-C2B-002|SCR-C2B-003,getMyPersonalDiscoveryRecommendations|commitMyRecommendationExposure|recordMyRecommendationAction,USER_ACCOUNT|RECOMMENDATION_DELIVERY_BATCH|RECOMMENDATION_EXPOSURE_ITEM|RECOMMENDATION_ACTION|RECOMMENDATION_ATTRIBUTION_PROJECTION,AC-C2B-001|AC-C2B-002|AC-C2B-003|AC-C2B-004|AC-C2B-007|AC-C2B-030|AC-C2B-033|AC-C2B-034|AC-C2B-036|AC-C2B-040|AC-C2B-041|AC-C2B-050|AC-C2B-054|AC-C2B-055|AC-C2B-057|AC-C2B-058|AC-C2B-059|AC-C2B-060|AC-C2B-061,TASK-C2B-002|TASK-C2B-003|TASK-C2B-005|TASK-C2B-006|TASK-C2B-007|TASK-C2B-008|TASK-C2B-009|TASK-C2B-010|TASK-C2B-011,TEST-SECURITY-C2B|TEST-CONTRACT-C2B|TEST-BE-C2B-EXPOSURE|TEST-BE-C2B-ATTRIBUTION|TEST-FE-C2B|TEST-E2E-C2B,BLOCKED
